"Method","Path","OperationId","Summary","Parameters"
"GET","/device/devices/{deviceId}/devicedatasources/{deviceDsId}/groups/{dsigId}/graphs/{ographId}/data","getDeviceDatasourceInstanceGroupOverviewGraphData","Get device instance group overview graph data","deviceDsId:path:required, deviceId:path:required, dsigId:path:required, start:query:optional, end:query:optional, ographId:path:required, format:query:optional"
"GET","/log/logquerygroups/{id}/logqueries","getLogQueriesByGroupId","Get log queries by group ID","id:path:required"
"GET","/website/websites/{websiteId}/checkpoints/{checkpointId}/graphs/{graphName}/data","getWebsiteGraphData","Get website graph data","checkpointId:path:required, end:query:optional, start:query:optional, websiteId:path:required, graphName:path:required, format:query:optional"
"GET","/device/groups/{id}/historysdts","getSDTHistoryByDeviceGroupId","get SDT history for the group","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/dashboard/dashboards","getDashboardList","Get dashboard list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/trackedquerygroups/{id}","getTrackedQueryGroupById","Get tracked query group by ID","id:path:required"
"GET","/setting/alert/chains/{id}","getEscalationChainById","Get escalation chain by ID","id:path:required, fields:query:optional"
"GET","/setting/action/rules/{id}","getActionRuleById","get action rule","id:path:required"
"GET","/setting/action/rules/{id}/status","getActionRuleStatusById","get action rule status","id:path:required"
"GET","/setting/configsources/{id}","getConfigSourceById","Get config source by ID","id:path:required, format:query:optional"
"GET","/device/groups/{deviceGroupId}/datasources/{dsId}/alertsettings","getDeviceGroupDatasourceAlertSetting","Get device group datasource alert setting","deviceGroupId:path:required, dsId:path:required, fields:query:optional"
"GET","/setting/alert/rules/{id}","getAlertRuleById","get alert rule by id","id:path:required, fields:query:optional"
"GET","/setting/datasources/{id}","getDatasourceById","Get datasource by ID","id:path:required, format:query:optional, fields:query:optional"
"GET","/setting/diagnosticsources/{id}","getDiagnosticSourcesById","Get diagnostics sources by ID","id:path:required, format:query:optional"
"GET","/device/devices/{id}/topTalkersGraph","getTopTalkersGraph","get top talkers graph","end:query:optional, netflowFilter:query:optional, start:query:optional, id:path:required, format:query:optional, keyword:query:optional"
"GET","/logpipelines/{pipelineId}","getLogAlertGroupById","Retrieve a LogAlertGroup by ID","pipelineId:path:required"
"GET","/setting/collector/collectors/{collectorId}/installers/{osAndArch}","getCollectorInstaller","get collector installer","collectorId:path:required, osAndArch:path:required, collectorVersion:query:optional, token:query:optional, monitorOthers:query:optional, collectorSize:query:optional, useEA:query:optional, archType:query:optional"
"GET","/setting/recipientgroups","getRecipientGroupList","Get recipient group list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/logsources/{id}","getLogSourceById","Get log source","id:path:required, format:query:optional"
"GET","/website/websites","getWebsiteList","get website list","collectorIds:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/sdt/sdts/{id}","getSdtById","get SDT by id (Response may contain extra fields depending upon the type of SDT of given id)","id:path:required"
"GET","/logpipelines","getLogAlertGroupsList","Retrieve all LogAlertGroups",""
"GET","/website/websites/{id}/sdts","getWebsiteSDTListByWebsiteId","get a list of SDTs for a website","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/groups/{deviceGroupId}/datasources/{id}","getDeviceGroupDatasourceById","get device group datasource","deviceGroupId:path:required, id:path:required, fields:query:optional"
"GET","/setting/collector/collectors/{collectorId}/services/getStatusCheck","getCollectorStatusCheck","get collector status check","collectorId:path:required"
"GET","/device/groups/{id}/sdts","getDeviceGroupSDTList","get device group SDTs","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/dashboard/widgets/{id}/data","getWidgetDataById","get widget data (Based upon widget type the response may contain additional attributes. Please refer models corresponding to specific widget type at the bottom of this page to check the attributes)","end:query:optional, format:query:optional, start:query:optional, id:path:required"
"GET","/website/websites/{id}/graphs/{graphName}/data","getWebsiteDataByGraphName","get website data by graph name","id:path:required, start:query:optional, end:query:optional, graphName:path:required, format:query:optional"
"GET","/setting/roles","getRoleList","Get role list","excludeAdmin:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/metrics/usage","getMetricsUsage","Get metrics usage",""
"GET","/website/smcheckpoints","getSiteMonitorCheckPointList","Get website checkpoint list","type:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{id}/endpoints","getNetflowEndpointList","get netflow endpoints","end:query:optional, netflowFilter:query:optional, start:query:optional, id:path:required, port:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/report/reports/{id}","getReportById","Get report by ID","id:path:required, fields:query:optional"
"GET","/setting/collector/collectors/{collectorId}/events","getCollectorEvents","get collector events","collectorId:path:required"
"GET","/website/websites/{srvId}/checkpoints/{checkId}/data","getWebsiteCheckpointDataById","get data for a website checkpoint","srvId:path:required, checkId:path:required, period:query:optional, start:query:optional, end:query:optional, datapoints:query:optional, format:query:optional, aggregate:query:optional"
"GET","/log/partitions","getAllLogPartitions","Retrieve a list of all log partitions",""
"GET","/website/groups/{id}/websites","getImmediateWebsiteListByWebsiteGroupId","get a list of websites for a group (Response may contain extra fields depending upon the type of check { PingCheck | WebCheck} being added)","id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/dashboard/dashboards/{id}","getDashboardById","get dashboard","id:path:required, template:query:optional, format:query:optional, fields:query:optional"
"GET","/device/devices/{deviceId}/devicedatasources/{id}/historysdts","getSDTHistoryByDeviceDataSourceId","Get SDT history for the device dataSource","deviceId:path:required, id:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/propertyrules","getPropertyRulesList","Get property rules list","format:query:optional, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/device/devices/{deviceId}/properties","getDevicePropertyList","Get device properties","deviceId:path:required, fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/website/groups","getWebsiteGroupList","get website group list","fields:query:optional, size:query:optional, offset:query:optional, filter:query:optional"
"GET","/setting/collector/groups/{id}","getCollectorGroupById","Get collector group","id:path:required, fields:query:optional"
